page_name,type,content,source
Home.tsx,text,Shape the future of technology. Join a program that combines rigorous academics with hands-on innovation.,page JSX
Home.tsx,text,Learn More,page JSX
Home.tsx,sub_title,Why Choose Our Program?,page JSX
Home.tsx,text,Our Bachelor's in Computer Science offers a comprehensive education designed to prepare you for success in the tech industry.,page JSX
Home.tsx,sub_title,Excellence in Education,page JSX
Home.tsx,sub_sub_title,Comprehensive Curriculum,page JSX
Home.tsx,text,"4-year program covering algorithms, data structures, software engineering, AI, cybersecurity, and more. Flexible electives let you specialize in your areas of interest.",page JSX
Home.tsx,sub_sub_title,Industry Partnerships,page JSX
Home.tsx,text,"Collaborate with leading tech companies through internships, co-op programs, and sponsored projects. Build your professional network before graduation.",page JSX
Home.tsx,sub_sub_title,Research Opportunities,page JSX
Home.tsx,text,"Work alongside faculty on cutting-edge research projects. Publish papers, attend conferences, and contribute to advancing the field.",page JSX
Home.tsx,sub_title,Student Success Stories,page JSX
Home.tsx,text,Hear from our students about their journey,page JSX
Home.tsx,sub_title,Ready to Start Your Journey?,page JSX
Home.tsx,text,Join our next cohort of innovative students. Applications are now open for Fall 2025.,page JSX
Home.tsx,text,Apply Now,page JSX
Home.tsx,text,Request Information,page JSX
Contact.tsx,title,Contact Us,page JSX
Contact.tsx,text,Have questions about our Computer Science program? We're here to help. Reach out to us today.,page JSX
Contact.tsx,sub_title,Send us a Message,page JSX
Contact.tsx,label_text,Name,page JSX
Contact.tsx,label_text,Email,page JSX
Contact.tsx,label_text,Message,page JSX
Contact.tsx,button_text,Send Message,page JSX
Contact.tsx,sub_title,Get in Touch,page JSX
Contact.tsx,sub_title,Visit Our Campus,page JSX
Contact.tsx,text,Interactive Map,page JSX
Contact.tsx,text,"Campus location: 123 University Ave, Campus City, ST 12345",page JSX
Contact.tsx,sub_title,Connect With Us,page JSX
Contact.tsx,text,"Follow us on social media for the latest updates, events, and student stories.",page JSX
Contact.tsx,button_text,Facebook,page JSX
Contact.tsx,button_text,Twitter,page JSX
Contact.tsx,button_text,LinkedIn,page JSX
Contact.tsx,button_text,Instagram,page JSX
Faculty.tsx,title,Our Faculty,page JSX
Faculty.tsx,text,Learn from world-class educators and researchers who are passionate about shaping the next generation of computer scientists.,page JSX
Faculty.tsx,sub_title,Faculty Excellence,page JSX
Faculty.tsx,text,50+,page JSX
Faculty.tsx,text,Published Research Papers Annually,page JSX
Faculty.tsx,text,15:1,page JSX
Faculty.tsx,text,Student to Faculty Ratio,page JSX
Faculty.tsx,text,100%,page JSX
Faculty.tsx,text,PhDs from Top Universities,page JSX
AboutProgram.tsx,title,About Our Program,page JSX
AboutProgram.tsx,text,A comprehensive computer science education that prepares you for the challenges and opportunities of tomorrow's tech landscape.,page JSX
AboutProgram.tsx,sub_title,Program Overview,page JSX
AboutProgram.tsx,text,Our Bachelor of Science in Computer Science is designed to provide a solid foundation in computing principles while offering flexibility to explore specialized areas of interest.,page JSX
AboutProgram.tsx,text,"You'll gain hands-on experience through labs, projects, and internships, learning from faculty who are leaders in their fields. Our curriculum balances theoretical knowledge with practical skills, ensuring you're ready to tackle real-world challenges from day one.",page JSX
AboutProgram.tsx,sub_title,Learning Outcomes,page JSX
AboutProgram.tsx,text,Skills you'll gain during the program,page JSX
AboutProgram.tsx,sub_title,Curriculum Outline,page JSX
AboutProgram.tsx,text,Four years of comprehensive computer science education,page JSX
AboutProgram.tsx,inline_text,â€¢,page JSX
AboutProgram.tsx,sub_title,Career Opportunities,page JSX
AboutProgram.tsx,text,Our graduates pursue diverse and rewarding careers in technology,page JSX
AboutProgram.tsx,sub_title,Why Choose Our Program?,page JSX
AboutProgram.tsx,text,What makes us stand out,page JSX
Admissions.tsx,title,Admissions,page JSX
Admissions.tsx,text,Start your journey to becoming a computer science professional. We're looking for passionate students ready to innovate.,page JSX
Admissions.tsx,sub_title,Admission Requirements,page JSX
Admissions.tsx,text,What you need to apply,page JSX
Admissions.tsx,sub_title,Important Deadlines,page JSX
Admissions.tsx,text,Mark your calendar,page JSX
Admissions.tsx,sub_title,Application Steps,page JSX
Admissions.tsx,text,How to apply in 5 easy steps,page JSX
Admissions.tsx,text,Apply to the Computer Science Program,page JSX
Admissions.tsx,text,You will be redirected to our secure admissions portal to complete your application.,page JSX
Admissions.tsx,text,"Before you begin, make sure you have:",page JSX
Admissions.tsx,inline_text,Your academic transcripts ready,page JSX
Admissions.tsx,inline_text,Contact information for recommenders,page JSX
Admissions.tsx,inline_text,Personal statement prepared,page JSX
Admissions.tsx,text,Request Information,page JSX
Admissions.tsx,text,We'll send you detailed information about our Computer Science program.,page JSX
Admissions.tsx,text,Learn more about:,page JSX
Admissions.tsx,inline_text,Detailed curriculum and course descriptions,page JSX
Admissions.tsx,inline_text,Financial aid and scholarship opportunities,page JSX
Admissions.tsx,inline_text,Campus life and student resources,page JSX
NotFound.tsx,title,404,page JSX
NotFound.tsx,text,Oops! Page not found,page JSX
NotFound.tsx,link_text,Return to Home,page JSX
